timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759452987707,71,POST /auth/login,200,,TC_LOGIN 1-107,text,true,,1220,270,1,1,http://localhost:8080/auth/login,71,0,1
1759452988013,71,POST /auth/login,200,,TC_LOGIN 1-108,text,true,,1220,270,1,1,http://localhost:8080/auth/login,71,0,0
1759452988306,70,POST /auth/login,200,,TC_LOGIN 1-109,text,true,,1220,270,1,1,http://localhost:8080/auth/login,70,0,1
1759452988606,71,POST /auth/login,200,,TC_LOGIN 1-110,text,true,,1220,270,1,1,http://localhost:8080/auth/login,71,0,1
1759452988908,73,POST /auth/login,200,,TC_LOGIN 1-111,text,true,,1220,270,1,1,http://localhost:8080/auth/login,73,0,1
1759452989208,71,POST /auth/login,200,,TC_LOGIN 1-112,text,true,,1220,270,1,1,http://localhost:8080/auth/login,71,0,1
1759452989508,70,POST /auth/login,200,,TC_LOGIN 1-113,text,true,,1220,270,1,1,http://localhost:8080/auth/login,70,0,1
1759452989808,70,POST /auth/login,200,,TC_LOGIN 1-114,text,true,,1220,270,1,1,http://localhost:8080/auth/login,70,0,1
1759452990108,79,POST /auth/login,200,,TC_LOGIN 1-115,text,true,,1220,270,1,1,http://localhost:8080/auth/login,79,0,1
1759452990416,72,POST /auth/login,200,,TC_LOGIN 1-116,text,true,,1220,270,1,1,http://localhost:8080/auth/login,72,0,0
1759452990709,71,POST /auth/login,200,,TC_LOGIN 1-117,text,true,,1220,270,1,1,http://localhost:8080/auth/login,71,0,0
1759452991008,71,POST /auth/login,200,,TC_LOGIN 1-118,text,true,,1220,270,1,1,http://localhost:8080/auth/login,71,0,0
1759452991314,71,POST /auth/login,200,,TC_LOGIN 1-119,text,true,,1220,270,1,1,http://localhost:8080/auth/login,71,0,1
1759452991609,71,POST /auth/login,200,,TC_LOGIN 1-120,text,true,,1220,270,1,1,http://localhost:8080/auth/login,71,0,1
1759452991908,71,POST /auth/login,200,,TC_LOGIN 1-121,text,true,,1220,270,1,1,http://localhost:8080/auth/login,71,0,0
1759452992210,70,POST /auth/login,200,,TC_LOGIN 1-122,text,true,,1220,270,1,1,http://localhost:8080/auth/login,70,0,0
1759452992508,71,POST /auth/login,200,,TC_LOGIN 1-123,text,true,,1220,270,1,1,http://localhost:8080/auth/login,71,0,1
1759452992808,72,POST /auth/login,200,,TC_LOGIN 1-124,text,true,,1220,270,1,1,http://localhost:8080/auth/login,72,0,0
1759452993108,72,POST /auth/login,200,,TC_LOGIN 1-125,text,true,,1220,270,1,1,http://localhost:8080/auth/login,72,0,1
